match_id,player,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Total,80,6,4,48,33,32,13,11,8,61,18,25,13,5,25,15,6
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,Total,61,3,2,34,27,27,16,3,3,80,34,28,23,2,21,11,8
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,1,52,6,2,32,22,20,8,7,6,34,9,18,8,3,13,7,4
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,1,34,2,1,19,14,15,11,0,0,52,22,18,15,1,12,8,3
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,2,28,0,2,16,11,12,5,4,2,27,9,7,5,2,12,8,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,2,27,1,1,15,13,12,5,3,3,28,12,10,8,1,9,3,5
20260404-M-Bucharest-SF-Botic_Van_De_Zandschulp-Mariano_Navone,Botic Van De Zandschulp,Total,115,0,2,76,46,39,21,13,7,137,58,35,27,8,68,38,28
20260404-M-Bucharest-SF-Botic_Van_De_Zandschulp-Mariano_Navone,Mariano Navone,Total,137,0,2,112,67,25,12,14,8,115,48,21,13,8,50,23,25
20260404-M-Bucharest-SF-Botic_Van_De_Zandschulp-Mariano_Navone,Botic Van De Zandschulp,1,37,0,0,25,16,12,5,4,2,38,20,15,12,3,19,15,4
20260404-M-Bucharest-SF-Botic_Van_De_Zandschulp-Mariano_Navone,Mariano Navone,1,38,0,0,32,16,6,2,4,1,37,16,3,2,1,14,8,6
20260404-M-Bucharest-SF-Botic_Van_De_Zandschulp-Mariano_Navone,Botic Van De Zandschulp,2,41,0,2,27,19,14,7,3,2,51,17,7,7,0,24,11,11
20260404-M-Bucharest-SF-Botic_Van_De_Zandschulp-Mariano_Navone,Mariano Navone,2,51,0,0,43,29,8,5,3,2,41,15,9,4,5,18,7,11
20260404-M-Bucharest-SF-Botic_Van_De_Zandschulp-Mariano_Navone,Botic Van De Zandschulp,3,37,0,0,24,11,13,9,6,3,48,21,13,8,5,25,12,13
20260404-M-Bucharest-SF-Botic_Van_De_Zandschulp-Mariano_Navone,Mariano Navone,3,48,0,2,37,22,11,5,7,5,37,17,9,7,2,18,8,8
20240915-M-Davis_Cup_World_Group-RR-Botic_Van_De_Zandschulp-Matteo_Berrettini,Botic Van De Zandschulp,Total,101,4,2,72,51,29,14,12,9,91,33,26,15,6,22,13,7
20240915-M-Davis_Cup_World_Group-RR-Botic_Van_De_Zandschulp-Matteo_Berrettini,Matteo Berrettini,Total,91,12,0,69,50,22,8,3,1,101,36,35,16,5,30,20,10
20240915-M-Davis_Cup_World_Group-RR-Botic_Van_De_Zandschulp-Matteo_Berrettini,Botic Van De Zandschulp,1,30,3,1,23,20,7,3,1,1,36,16,11,5,3,6,4,1
20240915-M-Davis_Cup_World_Group-RR-Botic_Van_De_Zandschulp-Matteo_Berrettini,Matteo Berrettini,1,36,4,0,28,19,8,1,2,1,30,7,6,2,0,11,6,5
20240915-M-Davis_Cup_World_Group-RR-Botic_Van_De_Zandschulp-Matteo_Berrettini,Botic Van De Zandschulp,2,25,1,0,14,11,11,7,1,0,28,7,7,5,0,6,2,4
20240915-M-Davis_Cup_World_Group-RR-Botic_Van_De_Zandschulp-Matteo_Berrettini,Matteo Berrettini,2,28,5,0,21,17,7,4,0,0,25,7,11,5,0,8,6,2
20240915-M-Davis_Cup_World_Group-RR-Botic_Van_De_Zandschulp-Matteo_Berrettini,Botic Van De Zandschulp,3,46,0,1,35,20,11,4,10,8,27,10,8,5,3,10,7,2
20240915-M-Davis_Cup_World_Group-RR-Botic_Van_De_Zandschulp-Matteo_Berrettini,Matteo Berrettini,3,27,3,0,20,14,7,3,1,0,46,22,18,9,5,11,8,3
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,180,12,3,111,75,69,44,14,10,196,65,69,28,29,102,29,70
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,196,8,7,119,83,77,48,13,10,180,61,63,34,21,86,36,43
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,1,24,1,0,12,8,12,9,0,0,23,12,9,3,5,12,4,8
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,1,23,0,2,14,7,9,4,3,1,24,7,5,4,1,15,5,8
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,2,33,1,0,20,16,13,7,2,1,50,18,14,6,7,23,6,17
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,2,50,4,2,33,24,17,8,4,4,33,10,13,6,3,19,12,5
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,3,24,0,1,11,7,13,8,2,1,40,13,6,0,6,25,8,16
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,3,40,1,2,17,12,23,15,5,5,24,9,7,3,3,19,5,12
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,4,54,5,0,37,22,17,13,2,1,52,19,26,14,7,21,6,15
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,4,52,1,1,34,21,18,12,1,0,54,19,21,12,8,20,8,11
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,5,45,5,2,31,22,14,7,8,7,31,3,14,5,4,21,5,14
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,5,31,2,0,21,19,10,9,0,0,45,16,17,9,6,13,6,7
