tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1975-1602,San Antonio WCT,Hard,32,A,19750223,1,100060,1,,Marty Riessen,R,185,USA,33.2,100270,,,Anand Amritraj,R,185,IND,22.9,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,12,,85,
1975-1602,San Antonio WCT,Hard,32,A,19750223,2,100055,,,Cliff Drysdale,R,188,RSA,33.7,100204,,,Pancho Walthall,L,,USA,25.0,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,19,,,
1975-1602,San Antonio WCT,Hard,32,A,19750223,3,100232,,,Eddie Dibbs,R,170,USA,24.0,100076,,,Milan Holecek,R,190,CZE,31.3,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,20,,90,
1975-1602,San Antonio WCT,Hard,32,A,19750223,4,100244,6,,John Alexander,R,190,AUS,23.6,100139,,,Gerald Battrick,R,178,GBR,27.7,6-0 6-1,3,R32,,,,,,,,,,,,,,,,,,,,28,,100,
1975-1602,San Antonio WCT,Hard,32,A,19750223,5,100205,5,,Paul Gerken,R,185,USA,24.9,100146,,,Jun Kamiwazumi,R,,JPN,27.3,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,,69,,102,
1975-1602,San Antonio WCT,Hard,32,A,19750223,6,100175,,,Zan Guerry,R,,USA,26.0,100220,,,Jiri Hrebec,R,,CZE,24.4,6-3 6-7(2) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,231,,44,
1975-1602,San Antonio WCT,Hard,32,A,19750223,7,100061,,,Tom Edlefsen,R,188,USA,33.1,100025,,,Barry Phillips Moore,R,173,AUS,37.6,6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,,119,,76,
1975-1602,San Antonio WCT,Hard,32,A,19750223,8,100229,,,Dick Stockton,R,188,USA,24.0,100128,4,,Cliff Richey,R,175,USA,28.1,2-6 6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,16,,25,
1975-1602,San Antonio WCT,Hard,32,A,19750223,9,100126,3,,Stan Smith,R,193,USA,28.1,100251,,,Grover Raz Reid,R,,USA,23.4,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,9,,83,
1975-1602,San Antonio WCT,Hard,32,A,19750223,10,100073,,,Mark Cox,L,185,GBR,31.6,100106,,,Graham Stilwell,R,173,GBR,29.2,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,32,,127,
