tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,1,105590,1,,Uladzimir Ignatik,R,183,BLR,24.4791238877,131867,,WC,Dominik Boehler,R,,GER,18.8720054757,7-6(5) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,218,223,2159,1
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,2,123828,,,Jan Choinski,R,,GER,18.5708418891,127157,,WC,Daniel Altmaier,R,,GER,16.3148528405,7-5 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,661,38,984,12
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,3,105786,,,Tom Schonenberg,R,,GER,23.5592060233,105617,,,Andreas Mies,U,,GER,24.3750855578,7-6(2) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,833,20,922,15
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,4,122351,,,Johannes Haerteis,U,,GER,18.8692676249,106154,6,,Duje Kekez,R,,CRO,21.7686516085,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,794,22,493,72
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,5,134068,,Q,Vadym Ursu,R,,UKR,18.0095824778,122171,,LL,Alexander Mannapov,R,,GER,19.7097878166,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,985,12,2122,1
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,6,125802,,,Ilya Ivashka,R,193,BLR,20.8624229979,144891,,WC,Fabian Fallert,U,,GER,17.6509240246,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,708,31,,
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,7,105236,,,Pirmin Haenle,R,,GER,26.1793292266,106338,,Q,Jannis Kahlke,L,,GER,20.5749486653,2-6 6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,724,30,1155,7
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,8,122248,8,,Peter Kobelt,U,,USA,24.1341546886,122353,,Q,Christian Hirschmueller,R,,GER,21.8206707734,6-4 7-6(5),3,R32,,,,,,,,,,,,,,,,,,,,546,58,1395,4
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,9,106191,,,Mick Lescure,R,,FRA,21.5934291581,106008,5,,Florian Fallert,R,,GER,22.6146475017,6-3 7-6(6),3,R32,,,,,,,,,,,,,,,,,,,,714,31,468,80
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,10,117354,,Q,Hannes Wagner,R,,GER,19.1978097194,123929,,Q,Luca Gelhardt,U,,GER,20.0219028063,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,1706,2,,
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,11,126158,,,Piotr Lomacki,U,,POL,19.1047227926,134449,,Q,Robin Lang,U,,GER,18.9212867899,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,743,28,1426,3
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,12,120424,4,,Yannick Maden,R,185,GER,25.1882272416,121898,,Q,Denis Kapric,R,,GER,20.3668720055,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,445,88,1481,3
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,13,123893,,,Lukas Ruepke,U,,GER,21.5003422313,106374,7,,Filip Veger,R,,CRO,20.0410677618,5-7 7-6(4) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,897,16,525,63
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,14,111162,,Q,Daniel Baumann,R,,GER,19.9069130732,122295,,LL,Anton Pavlov,L,,EST,19.4223134839,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,1495,3
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,15,105797,,,Marvin Netuschil,R,,GER,23.5126625599,122484,,WC,Moritz Dettinger,U,,GER,23.947980835,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,796,22,1687,2
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,16,105716,,,Tom Jomby,R,,FRA,23.8795345654,105967,2,,Henri Laaksonen,R,185,SUI,22.765229295,7-6(6) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,739,28,333,139
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,17,105590,1,,Uladzimir Ignatik,R,183,BLR,24.4791238877,123828,,,Jan Choinski,R,,GER,18.5708418891,4-6 6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,218,223,661,38
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,18,122351,,,Johannes Haerteis,U,,GER,18.8692676249,105786,,,Tom Schonenberg,R,,GER,23.5592060233,7-6(8) 6-2,3,R16,,,,,,,,,,,,,,,,,,,,794,22,833,20
