tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2019-0083,Eckental CH,Hard,64,C,20191028,221,207830,2,,Tomas Machac,R,183,CZE,19.0,208328,,WC,Max Wiskandt,R,191,GER,17.7,6-3 6-3,3,Q1,65,2,1,52,30,23,12,9,1,2,6,7,58,34,23,8,9,2,6,307,135,1612,1
2019-0083,Eckental CH,Hard,64,C,20191028,222,126340,,,Viktor Durasovic,R,185,NOR,22.6,123828,1,,Jan Choinski,R,196,GBR,23.3,6-3 6-2,3,Q1,58,5,3,57,32,22,13,9,4,6,1,3,52,35,19,5,8,2,7,341,117,288,143
2019-0083,Eckental CH,Hard,64,C,20191028,239,202195,,,Maxime Cressy,R,201,USA,22.4,207408,,WC,Niklas Guttau,L,178,GER,19.8,6-3 7-5,3,R64,82,15,2,62,43,37,12,11,1,1,1,2,64,35,27,13,10,3,5,182,282,908,13
2019-0083,Eckental CH,Hard,64,C,20191028,240,122298,,,Botic Van De Zandschulp,R,191,NED,24.0,105778,,WC,Tobias Simon,R,,GER,28.4,6-4 6-7(6) 7-6(5),3,R64,123,13,3,96,61,55,25,17,0,0,22,6,99,75,60,16,17,0,1,211,243,490,62
2019-0083,Eckental CH,Hard,64,C,20191028,243,207830,,Q,Tomas Machac,R,183,CZE,19.0,200303,,,Pavel Kotov,R,191,RUS,20.9,6-3 6-4,3,R64,67,1,2,51,32,26,14,10,0,0,7,4,61,39,31,7,9,3,5,307,135,252,183
2019-0083,Eckental CH,Hard,64,C,20191028,244,104735,,,Tobias Kamke,R,180,GER,33.4,104999,,,Mischa Zverev,L,190,GER,32.1,7-6(4) 6-1,3,R64,86,2,4,84,43,32,21,10,6,7,9,7,63,42,29,6,9,3,6,239,207,291,141
2019-0083,Eckental CH,Hard,64,C,20191028,247,117356,,,Cem Ilkel,R,185,TUR,24.1,208816,,WC,Jeremy Schifris,L,,GER,18.0,6-4 6-2,3,R64,62,5,0,52,40,31,9,9,2,2,3,1,56,36,18,13,9,1,4,274,159,,
2019-0083,Eckental CH,Hard,64,C,20191028,248,200514,,,Jurij Rodionov,L,191,AUT,20.4,202279,,WC,Leopold Zima,R,185,GER,19.4,6-4 7-6(6),3,R64,75,1,4,67,47,36,11,11,0,1,10,1,70,44,33,13,11,2,4,290,142,1421,3
2019-0083,Eckental CH,Hard,64,C,20191028,251,109699,,,Julian Lenz,R,188,GER,26.6,126340,,Q,Viktor Durasovic,R,185,NOR,22.6,7-6(6) 6-2,3,R64,83,9,5,77,36,30,18,10,8,10,4,10,66,31,23,12,10,5,9,238,210,341,117
2019-0083,Eckental CH,Hard,64,C,20191028,252,106348,,,Evgeny Karlovskiy,R,191,RUS,25.2,109054,,,Daniel Masur,R,183,GER,24.9,6-7(8) 7-6(2) 6-1,3,R64,133,18,3,111,76,56,17,16,2,4,11,3,104,71,47,17,15,4,8,263,173,241,204
2019-0083,Eckental CH,Hard,64,C,20191028,255,105041,,,Lukas Lacko,R,185,SVK,31.9,208328,,LL,Max Wiskandt,R,191,GER,17.7,6-4 6-1,3,R64,51,10,0,43,28,26,10,9,0,0,3,4,61,38,20,12,8,4,7,193,269,1612,1
2019-0083,Eckental CH,Hard,64,C,20191028,256,105441,,,John Patrick Smith,L,188,AUS,30.7,122351,,WC,Johannes Haerteis,L,196,GER,23.6,7-6(3) 6-7(2) 7-6(5),3,R64,145,7,3,118,72,55,29,18,5,7,16,8,124,74,60,26,18,6,8,304,135,431,79
2019-0083,Eckental CH,Hard,64,C,20191028,259,105074,,,Ruben Bemelmans,L,183,BEL,31.7,106234,,,Aslan Karatsev,R,185,RUS,26.1,6-2 6-3,3,R64,76,5,3,46,29,25,9,8,0,0,6,9,73,41,25,12,9,11,15,217,226,271,163
2019-0083,Eckental CH,Hard,64,C,20191028,260,109303,,,Stefano Napolitano,R,196,ITA,24.5,126120,,,Nino Serdarusic,R,191,CRO,22.8,7-5 6-4,3,R64,84,4,1,61,31,27,17,11,3,4,8,2,72,40,27,16,11,3,6,232,214,279,152
2019-0083,Eckental CH,Hard,64,C,20191028,263,144645,,,Zdenek Kolar,R,183,CZE,23.0,105634,,,Viktor Galovic,R,193,ITA,29.1,6-2 6-2,3,R64,60,3,2,38,26,23,9,8,0,0,13,2,69,43,27,8,8,8,12,267,170,246,194
2019-0083,Eckental CH,Hard,64,C,20191028,264,105011,,,Illya Marchenko,R,185,UKR,32.1,111192,,,Lucas Miedler,R,183,AUT,23.3,6-1 6-2,3,R64,66,9,1,48,24,21,14,8,3,3,1,4,65,43,19,12,7,11,15,256,178,276,158
2019-0083,Eckental CH,Hard,64,C,20191028,267,104327,,,Steve Darcis,R,178,BEL,35.6,104868,,,James Ward,R,190,GBR,32.7,7-5 7-6(4),3,R64,83,10,4,69,31,27,24,12,2,3,6,4,80,48,37,14,12,3,5,181,284,289,143
2019-0083,Eckental CH,Hard,64,C,20191028,268,144817,,Alt,Marc Andrea Huesler,L,196,SUI,23.3,105806,,,Mirza Basic,R,188,BIH,28.2,3-6 6-3 7-6(4),3,R64,116,9,4,96,60,44,22,15,3,5,9,2,96,61,43,22,15,4,6,277,154,299,137
2019-0083,Eckental CH,Hard,64,C,20191028,270,105967,2,,Henri Laaksonen,R,185,SUI,27.5,202195,,,Maxime Cressy,R,201,USA,22.4,6-4 5-7 7-6(3),3,R32,129,8,4,96,54,46,25,17,4,6,19,8,108,76,56,15,17,5,7,105,541,182,282
2019-0083,Eckental CH,Hard,64,C,20191028,271,122298,,,Botic Van De Zandschulp,R,191,NED,24.0,104678,14,,Viktor Troicki,R,193,SRB,33.7,3-6 6-3 6-4,3,R32,100,10,3,83,59,44,14,14,3,4,6,6,89,56,42,16,14,4,6,211,243,158,330
2019-0083,Eckental CH,Hard,64,C,20191028,272,125802,9,,Ilya Ivashka,R,193,BLR,25.6,207830,,Q,Tomas Machac,R,183,CZE,19.0,6-3 6-0,3,R32,79,8,3,60,34,26,14,8,7,7,2,3,72,50,24,10,7,10,14,145,366,307,135
2019-0083,Eckental CH,Hard,64,C,20191028,273,106210,7,,Jiri Vesely,L,198,CZE,26.2,104735,,,Tobias Kamke,R,180,GER,33.4,6-3 6-3,3,R32,70,11,5,49,32,31,7,9,0,0,2,5,55,27,21,11,9,1,4,119,474,239,207
2019-0083,Eckental CH,Hard,64,C,20191028,274,105376,4,,Peter Gojowczyk,R,188,GER,30.2,117356,,,Cem Ilkel,R,185,TUR,24.1,6-4 6-7(5) 7-5,3,R32,121,20,7,109,52,43,29,17,6,9,9,1,99,60,43,22,17,5,10,118,475,274,159
2019-0083,Eckental CH,Hard,64,C,20191028,275,124116,16,,Sebastian Ofner,R,191,AUT,23.4,200514,,,Jurij Rodionov,L,191,AUT,20.4,6-7(5) 7-5 3-0 RET,3,R32,93,22,6,80,56,48,10,13,3,4,9,4,92,55,35,19,14,3,7,164,304,290,142
2019-0083,Eckental CH,Hard,64,C,20191028,276,200325,11,,Emil Ruusuvuori,R,188,FIN,20.5,109699,,,Julian Lenz,R,188,GER,26.6,7-5 4-6 6-4,3,R32,128,9,6,125,82,54,21,16,15,18,17,4,104,62,47,18,16,5,9,148,363,238,210
2019-0083,Eckental CH,Hard,64,C,20191028,277,106348,,,Evgeny Karlovskiy,R,191,RUS,25.2,120424,5,,Yannick Maden,R,185,GER,29.9,6-4 6-3,3,R32,75,10,3,62,39,30,12,10,8,10,2,5,56,30,20,8,9,2,6,263,173,116,480
2019-0083,Eckental CH,Hard,64,C,20191028,278,105041,,,Lukas Lacko,R,185,SVK,31.9,110602,8,,Dennis Novak,R,183,AUT,26.1,6-4 4-6 6-4,3,R32,94,9,1,83,54,39,18,15,1,4,12,5,88,55,42,14,15,5,9,193,269,124,454
2019-0083,Eckental CH,Hard,64,C,20191028,279,105441,,,John Patrick Smith,L,188,AUS,30.7,104586,12,,Lukas Rosol,R,193,CZE,34.2,6-4 6-2,3,R32,55,6,0,49,31,26,12,9,0,0,4,5,54,25,18,15,9,4,7,304,135,153,350
2019-0083,Eckental CH,Hard,64,C,20191028,280,106214,15,,Oscar Otte,R,193,GER,26.2,105074,,,Ruben Bemelmans,L,183,BEL,31.7,4-6 6-2 6-3,3,R32,100,9,10,92,60,47,13,14,6,8,3,5,79,45,32,17,13,5,9,161,315,217,226
2019-0083,Eckental CH,Hard,64,C,20191028,281,144750,3,,Lloyd Harris,R,193,RSA,22.6,109303,,,Stefano Napolitano,R,196,ITA,24.5,6-2 6-4,3,R32,57,18,2,58,37,31,11,9,4,4,7,1,48,22,19,12,9,0,3,103,547,232,214
2019-0083,Eckental CH,Hard,64,C,20191028,282,144645,,,Zdenek Kolar,R,183,CZE,23.0,105539,6,,Evgeny Donskoy,R,185,RUS,29.4,4-6 6-4 7-6(9),3,R32,134,4,2,102,58,49,20,16,6,8,12,6,106,68,51,18,16,3,5,267,170,106,530
2019-0083,Eckental CH,Hard,64,C,20191028,283,105011,,,Illya Marchenko,R,185,UKR,32.1,104660,10,,Sergiy Stakhovsky,R,193,UKR,33.8,6-4 7-6(3),3,R32,94,7,2,72,45,38,15,11,4,5,7,4,72,30,22,22,11,1,3,256,178,147,363
2019-0083,Eckental CH,Hard,64,C,20191028,284,104327,,,Steve Darcis,R,178,BEL,35.6,105943,13,,Federico Gaio,R,178,ITA,27.6,6-2 6-3,3,R32,56,8,2,42,25,20,13,8,0,0,0,2,49,19,11,16,9,1,5,181,284,154,350
2019-0083,Eckental CH,Hard,64,C,20191028,285,111794,1,,Kamil Majchrzak,R,180,POL,23.7,144817,,Alt,Marc Andrea Huesler,L,196,SUI,23.3,7-5 6-7(5) 6-3,3,R32,128,7,5,94,65,43,18,16,3,6,14,7,128,78,55,16,17,8,14,90,611,277,154
2019-0083,Eckental CH,Hard,64,C,20191028,286,122298,,,Botic Van De Zandschulp,R,191,NED,24.0,105967,2,,Henri Laaksonen,R,185,SUI,27.5,7-6(3) 4-6 7-6(2),3,R16,129,20,7,120,78,62,14,17,8,12,15,6,112,64,45,26,17,11,14,211,243,105,541
2019-0083,Eckental CH,Hard,64,C,20191028,287,106210,7,,Jiri Vesely,L,198,CZE,26.2,125802,9,,Ilya Ivashka,R,193,BLR,25.6,7-6(2) 6-2,3,R16,79,15,2,51,35,30,11,10,0,1,6,6,71,49,35,4,10,3,6,119,474,145,366
2019-0083,Eckental CH,Hard,64,C,20191028,288,105376,4,,Peter Gojowczyk,R,188,GER,30.2,124116,16,,Sebastian Ofner,R,191,AUT,23.4,6-1 6-4,3,R16,52,6,2,63,36,29,14,9,4,4,4,3,42,26,16,7,8,0,3,118,475,164,304
2019-0083,Eckental CH,Hard,64,C,20191028,289,106348,,,Evgeny Karlovskiy,R,191,RUS,25.2,200325,11,,Emil Ruusuvuori,R,188,FIN,20.5,4-6 6-2 6-4,3,R16,96,21,3,78,54,40,13,14,2,4,4,5,99,62,41,18,14,6,10,263,173,148,363
2019-0083,Eckental CH,Hard,64,C,20191028,290,105041,,,Lukas Lacko,R,185,SVK,31.9,105441,,,John Patrick Smith,L,188,AUS,30.7,7-5 6-3,3,R16,56,10,1,60,43,37,9,11,5,5,6,2,62,42,27,11,10,1,3,193,269,304,135
2019-0083,Eckental CH,Hard,64,C,20191028,291,144750,3,,Lloyd Harris,R,193,RSA,22.6,106214,15,,Oscar Otte,R,193,GER,26.2,4-6 6-4 7-6(3),3,R16,126,18,4,117,70,56,21,16,9,10,8,4,110,70,48,25,16,8,9,103,547,161,315
2019-0083,Eckental CH,Hard,64,C,20191028,292,105011,,,Illya Marchenko,R,185,UKR,32.1,144645,,,Zdenek Kolar,R,183,CZE,23.0,5-7 6-3 6-4,3,R16,118,12,6,95,57,40,14,16,5,11,4,0,81,54,28,13,15,3,10,256,178,267,170
2019-0083,Eckental CH,Hard,64,C,20191028,293,104327,,,Steve Darcis,R,178,BEL,35.6,111794,1,,Kamil Majchrzak,R,180,POL,23.7,3-6 6-2 7-5,3,R16,121,10,4,91,45,35,25,14,8,10,5,5,99,64,40,18,15,5,9,181,284,90,611
2019-0083,Eckental CH,Hard,64,C,20191028,294,106210,7,,Jiri Vesely,L,198,CZE,26.2,122298,,,Botic Van De Zandschulp,R,191,NED,24.0,3-6 6-3 6-4,3,QF,98,9,5,77,50,39,14,14,0,2,6,4,85,53,40,12,14,2,5,119,474,211,243
2019-0083,Eckental CH,Hard,64,C,20191028,295,106348,,,Evgeny Karlovskiy,R,191,RUS,25.2,105376,4,,Peter Gojowczyk,R,188,GER,30.2,4-6 6-2 6-2,3,QF,99,13,0,82,55,41,17,13,8,9,9,2,88,45,33,17,13,1,5,263,173,118,475
2019-0083,Eckental CH,Hard,64,C,20191028,296,144750,3,,Lloyd Harris,R,193,RSA,22.6,105041,,,Lukas Lacko,R,185,SVK,31.9,6-7(5) 6-3 6-3,3,QF,104,30,4,95,65,52,17,15,3,3,9,1,99,63,43,21,15,4,7,103,547,193,269
2019-0083,Eckental CH,Hard,64,C,20191028,297,104327,,,Steve Darcis,R,178,BEL,35.6,105011,,,Illya Marchenko,R,185,UKR,32.1,6-7(4) 7-6(3) 6-3,3,QF,149,9,2,116,54,43,35,17,5,7,11,4,103,61,50,19,16,5,8,181,284,256,178
2019-0083,Eckental CH,Hard,64,C,20191028,298,106210,7,,Jiri Vesely,L,198,CZE,26.2,106348,,,Evgeny Karlovskiy,R,191,RUS,25.2,4-6 6-4 7-6(6),3,SF,141,27,4,119,81,66,16,16,7,8,14,1,95,67,54,15,16,3,4,119,474,263,173
2019-0083,Eckental CH,Hard,64,C,20191028,299,104327,,,Steve Darcis,R,178,BEL,35.6,144750,3,,Lloyd Harris,R,193,RSA,22.6,6-2 6-4,3,SF,56,6,3,45,28,25,11,9,0,0,12,3,46,31,22,7,9,1,4,181,284,103,547
2019-0083,Eckental CH,Hard,64,C,20191028,300,106210,7,,Jiri Vesely,L,198,CZE,26.2,104327,,,Steve Darcis,R,178,BEL,35.6,6-4 4-6 6-3,3,F,100,19,3,73,46,40,14,14,2,3,11,3,82,46,39,16,15,3,6,119,474,181,284
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,221,126204,2,,Gerardo Lopez Villasenor,R,191,MEX,23.9,106250,,,Luis Patino,R,183,MEX,25.5,6-3 7-6(8),3,Q1,90,2,3,65,42,33,14,11,1,2,0,5,63,37,26,12,10,0,2,549,7,567,6
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,222,200465,1,,Sem Verbeek,L,193,NED,25.0,207834,,WC,Juan Alejandro Hernandez Serrano,R,175,MEX,19.8,7-5 6-7(3) 6-3,3,Q1,149,10,8,133,81,57,25,17,15,18,1,13,109,65,43,22,16,5,10,531,8,,
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,239,105688,,WC,Manuel Sanchez,R,183,MEX,28.2,207182,,WC,Emilio Nava,R,185,USA,17.3,6-2 7-5,3,R64,82,2,4,63,36,28,17,10,3,3,3,6,64,26,20,17,10,7,10,506,10,577,5
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,240,205734,,Alt,Thiago Seyboth Wild,R,185,BRA,19.0,144675,,ITF,Baptiste Crepatte,U,,FRA,24.5,6-3 7-6(8),3,R64,66,2,2,60,39,34,13,11,0,1,2,2,61,33,23,18,10,3,5,382,42,348,63
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,243,124186,,,Alexandre Muller,R,183,FRA,22.1,200711,,,Nicolas Mejia,R,183,COL,19.1,7-6(5) 7-5,3,R64,116,3,6,94,64,38,18,12,7,10,3,5,79,36,23,20,12,3,7,330,83,,
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,244,110778,,ITF,Joao Menezes,R,185,BRA,22.3,106352,,,Matias Franco Descotte,R,191,ARG,24.6,6-7(7) 6-4 6-3,3,R64,146,8,5,100,66,47,16,15,5,8,6,3,110,60,45,20,16,8,14,372,48,323,86
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,247,124014,,,Ernesto Escobedo,R,185,MEX,22.7,103607,,,Victor Estrella,R,173,DOM,38.6,7-5 6-1,3,R64,80,4,6,61,31,25,14,10,2,4,3,5,56,34,22,7,9,4,9,293,130,350,61
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,248,105302,,,Ante Pavic,R,196,CRO,30.1,126340,,,Viktor Durasovic,R,185,NOR,22.0,4-6 6-3 7-5,3,R64,120,15,12,93,54,45,17,16,7,10,6,8,95,48,34,22,15,5,9,301,107,366,51
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,251,106057,,PR,Facundo Mena,R,183,ARG,26.5,126208,,,Yusuke Takahashi,R,170,JPN,21.4,4-6 6-3 6-0,3,R64,122,12,11,106,52,39,26,13,10,12,0,8,84,41,24,20,12,10,15,465,15,396,35
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,252,105529,,PR,Carlos Gomez Herrera,R,191,ESP,28.9,105181,,,Miljan Zekic,R,185,SRB,30.7,7-5 6-3,3,R64,93,2,6,61,31,25,18,11,1,2,4,6,76,35,23,20,10,2,5,376,44,342,68
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,255,126214,,ITF,Alejandro Tabilo,L,188,CHI,21.8,131905,,ITF,Manuel Guinard,R,198,FRA,23.4,7-6(1) 7-5,3,R64,101,5,8,84,49,36,19,12,8,10,12,7,81,44,33,13,12,3,6,534,8,457,17
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,256,104386,,WC,Janko Tipsarevic,R,180,SRB,34.8,106412,,WC,Lucas Gomez,L,178,MEX,23.6,6-4 5-7 6-2,3,R64,125,10,9,83,37,27,21,15,4,9,4,6,91,57,34,13,15,7,14,318,92,511,10
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,259,144817,,,Marc Andrea Huesler,L,196,SUI,22.8,200465,,Q,Sem Verbeek,L,193,NED,25.0,6-1 6-4,3,R64,60,5,4,44,18,18,18,9,0,0,3,4,50,33,23,5,8,4,7,351,61,531,8
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,260,105271,,,Gonzalo Escobar,L,178,ECU,30.2,122669,,,Juan Pablo Varillas,R,185,PER,23.5,7-5 6-3,3,R64,87,8,5,71,42,33,14,11,2,3,3,2,59,39,27,8,10,2,5,333,80,344,66
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,263,105154,,ITF,Joao Souza,R,193,BRA,30.8,126204,,Q,Gerardo Lopez Villasenor,R,191,MEX,23.9,7-5 6-7(4) 6-3,3,R64,175,9,3,100,55,42,25,17,2,4,5,4,123,71,49,21,16,8,12,422,25,549,7
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,264,144642,,,Tomas Barrios Vera,R,191,CHI,21.3,105952,,,Renzo Olivo,R,178,ARG,27.0,6-4 6-2,3,R64,79,4,4,59,32,23,15,9,0,1,4,12,67,35,25,10,9,6,10,312,96,316,93
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,267,106203,,Alt,Pedro Sakamoto,R,178,BRA,25.7,144684,,,Alex Molcan,L,178,SVK,21.3,6-4 6-2,3,R64,86,0,1,61,38,27,15,9,6,7,2,11,68,36,23,13,9,7,11,480,13,331,81
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,268,110536,,,Kevin King,L,191,USA,28.1,105960,,,Evan King,L,185,USA,27.0,7-6(7) 6-7(4) 6-3,3,R64,155,11,19,118,73,60,17,17,3,4,1,2,106,61,44,25,16,2,4,322,89,320,91
2019-0213,San Luis Potosi CH,Clay,64,C,20190415,270,104629,2,,Adrian Menendez Maceiras,R,185,ESP,33.4,105688,,WC,Manuel Sanchez,R,183,MEX,28.2,3-6 6-1 6-2,3,R32,122,4,5,79,39,26,22,12,8,11,4,10,89,43,22,21,12,9,15,137,422,506,10
