player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100016,Ken,Rosewall,R,19341102,AUS,175,Q312728
100022,Roy,Emerson,R,19361103,AUS,183,Q312545
100025,Barry,Phillips Moore,R,19370709,AUS,173,Q1563886
100027,Gene,Scott,R,19371228,USA,185,Q1282493
100029,Rod,Laver,L,19380809,AUS,173,Q105550
100035,Ion,Tiriac,R,19390509,ROU,185,Q924245
100037,Nikola,Pilic,L,19390827,CRO,191,Q452365
100038,Jaime,Pinto Bravo,R,19391009,CHI,178,Q18390167
100039,Boro,Jovanovic,R,19391021,CRO,,Q1259703
100040,Bob,Hewitt,R,19400112,RSA,190,Q52453
100047,Bob,Carmichael,R,19400704,AUS,183,Q1565064
100049,Jim,Mcmanus,L,19400916,USA,175,Q12957721
100054,Jose Edison,Mandarino,R,19410326,BRA,173,
100055,Cliff,Drysdale,R,19410526,RSA,188,Q582003
100056,Harald,Elschenbroich,R,19410619,GER,,Q5653740
100058,Roger,Taylor,L,19411014,GBR,183,Q1282421
100060,Marty,Riessen,R,19411204,USA,185,Q1289530
100061,Tom,Edlefsen,R,19411212,USA,188,Q7815700
100062,Francois,Jauffret,R,19420209,FRA,180,Q1260078
100064,Juan,Gisbert,R,19420405,ESP,,Q1290022
100067,Frew,Mcmillan,R,19420520,RSA,183,Q962512
100073,Mark,Cox,L,19430705,GBR,185,Q1565058
100074,Arthur,Ashe,R,19430710,USA,185,Q53325
100076,Milan,Holecek,R,19431023,CZE,190,Q1563971
100078,Clark,Graebner,R,19431104,USA,188,Q1269127
100080,Szabolcz,Baranyi,R,19440131,HUN,,Q13512888
100081,Charlie,Pasarell,R,19440212,USA,185,Q1269243
100082,Roger,Dowdeswell,R,19440216,ZIM,,Q7358114
100083,Nicola,Spear,R,19440222,SRB,,Q1258505
100084,Tom,Okker,R,19440222,NED,178,Q455411
100085,Hans Joachim,Ploetz,R,19440226,GER,,
100086,Frantisek,Pala,L,19440328,CZE,,Q323289
100087,John,Newcombe,R,19440523,AUS,183,Q312464
100088,Patricio,Cornejo,R,19440606,CHI,180,Q1271345
100090,Dick,Crealy,R,19440918,AUS,191,Q962839
100091,Colin,Dibley,R,19440919,AUS,188,Q390839
100092,Alex,Metreveli,R,19441102,RUS,,Q465796
100093,William,Brown,R,19450114,USA,,Q13512796
100098,Ove,Bengtson,R,19450405,SWE,196,Q374309
100099,Thomaz,Koch,L,19450511,BRA,,Q1281836
100100,Tony,Roche,L,19450517,AUS,178,Q710119
100101,Mike,Belkin,R,19450629,CAN,,Q1563966
100102,Joaquin,Loyo Mayo,R,19450816,MEX,,Q1565143
100104,Richard,Russell,R,19450908,JAM,,
100105,Allan,Stone,R,19451014,AUS,,Q1260060
100106,Graham,Stilwell,R,19451115,GBR,173,Q5593283
100107,Robert,Rheinberger,R,19451118,AUS,,
100109,Jun,Kuki,R,19451228,JPN,,Q16267024
100111,Ray,Keldie,R,19460117,AUS,,Q7297691
100113,Jan,Kodes,R,19460301,CZE,175,Q317431
100114,Ray,Ruffels,R,19460323,AUS,,Q1258947
100115,Jaime,Fillol,R,19460603,CHI,180,Q1258592
100116,Sherwood,Stewart,R,19460606,USA,188,Q984213
100118,Ivan,Molina,L,19460616,COL,,Q1281826
100119,Ilie,Nastase,R,19460719,ROU,183,Q106113
100120,Robert,Maud,R,19460812,RSA,180,Q1565123
100121,Raymond,Moore,R,19460824,RSA,183,Q1563090
100122,Julian,Ganzabal,R,19460825,ARG,,Q22004451
100124,Steve,Turner,R,19461017,USA,,
100126,Stan,Smith,R,19461214,USA,193,Q54657
100127,Tom,Gorman,R,19460119,USA,180,Q1258917
100128,Cliff,Richey,R,19461231,USA,175,Q1565885
100129,Jean Baptiste,Chanfreau,R,19470117,FRA,,Q1563100
100130,Vladimir,Zednik,R,19470201,CZE,,Q1261168
100132,Armistead,Neely,R,19470319,USA,,Q18085277
100133,Pat,Cramer,R,19470321,RSA,,Q7143331
100135,Onny,Parun,R,19470415,NZL,188,Q939026
100137,Hans Jurgen,Pohmann,R,19470523,GER,178,Q95218
100139,Gerald,Battrick,R,19470527,GBR,178,Q1565118
100141,Zeljko,Franulovic,R,19470613,CRO,,Q1290977
100142,Peter,Szoke,R,19470808,HUN,,Q1563115
100144,Bob,Lutz,R,19470829,USA,180,Q888085
100145,Dick,Dell,R,19470929,USA,,Q3026568
100146,Jun,Kamiwazumi,R,19471001,JPN,,Q11588830
100147,Marcello,Lara,R,19471005,MEX,,Q1565079
100148,Ismail,El Shafei,R,19471115,EGY,,Q402950
100149,Toshiro,Sakai,R,19471123,JPN,,Q962038
100150,Lito,Alvarez,R,19471205,ARG,,Q963823
100155,Ramiro,Benavides,R,19470130,BOL,,
100156,Jasjit,Singh,R,19480204,IND,,Q18091541
100160,Georges,Goven,R,19480426,FRA,173,Q1563939
100161,Jurgen,Fassbender,R,19480528,GER,,Q77578
100162,Brian,Fairlie,R,19480613,NZL,173,Q1563153
100168,Kenneth,McMillan,R,19481125,USA,,
100169,Ian,Fletcher,R,19481201,AUS,,Q3147262
100170,Bernard,Mignot,R,19481203,BEL,,Q2898324
100171,John,Yuill,R,19481212,RSA,,Q3182800
100172,Tito,Vazquez,R,19490101,ARG,173,Q2040551
100173,Andrew,Pattison,R,19490130,USA,188,Q716408
100174,Manuel,Orantes,L,19490206,ESP,178,Q318569
100175,Zan,Guerry,R,19490212,USA,,Q22278049
100176,Hans,Kary,L,19490223,AUT,172,Q3126972
