tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2019-1059,Taipei,Hard,32,C,20191111,270,201693,2,,Timea Babos,R,179,HUN,26.5051334702,210738,,Q,Aldila Sutjiadi,R,,INA,24.5284052019,2-6 6-4 6-3,3,R32,121,3,5,93,61,41,13,14,7,11,3,2,84,53,36,13,13,3,7,104,638,357,138
2019-1059,Taipei,Hard,32,C,20191111,271,204411,,Q,Storm Sanders,L,,AUS,25.2511978097,210931,,WC,Ching Wen Hsu,R,,TPE,23.227926078,6-1 6-4,3,R32,77,3,1,52,33,23,11,9,0,1,3,2,69,51,26,8,8,10,14,424,100,989,12
2019-1059,Taipei,Hard,32,C,20191111,272,206362,,,Naiktha Bains,R,174,GBR,21.9000684463,201613,,,Arina Rodionova,R,168,RUS,29.9055441478,6-3 6-7(3) 7-5,3,R32,141,1,3,102,70,43,18,16,4,8,1,5,105,69,39,17,17,3,10,291,194,207,292
2019-1059,Taipei,Hard,32,C,20191111,273,215219,6,,Kaja Juvan,R,170,SLO,18.9596167009,201399,,Q,Emily Webley Smith,R,,GBR,35.3264887064,6-1 6-2,3,R32,41,0,1,44,29,22,11,8,0,0,0,2,35,21,12,5,7,1,5,129,476,477,82
2019-1059,Taipei,Hard,32,C,20191111,274,203281,,,Amandine Hesse,R,164,FRA,26.81724846,211880,4,,Priscilla Hon,R,,AUS,21.5058179329,6-4 3-6 6-3,3,R32,113,12,6,95,51,33,24,14,4,8,7,4,87,47,33,19,14,10,15,259,225,123,500
2019-1059,Taipei,Hard,32,C,20191111,275,203435,,,Dalila Jakupovic,R,178,SLO,28.6351813826,220500,,Q,Ya Hsin Lee,L,,TPE,18.5872689938,2-6 6-2 6-2,3,R32,93,4,3,84,67,40,7,12,3,7,1,5,69,46,28,7,12,4,10,201,297,1107,8
2019-1059,Taipei,Hard,32,C,20191111,276,222390,,WC,Ya Yi Yang,L,,TPE,15.4496919918,220466,,WC,Joanna Garland,R,,TPE,18.3216974675,6-3 6-3,3,R32,62,1,2,46,27,21,13,9,0,1,2,6,53,31,20,8,9,3,7,,,637,43
2019-1059,Taipei,Hard,32,C,20191111,277,202600,8,,Viktoriya Tomova,R,170,BUL,24.7091033539,214826,,,Susan Bandecchi,U,,SUI,21.363449692,6-4 2-6 3-0 RET,3,R32,100,0,4,81,56,33,12,10,14,18,2,3,74,49,28,11,11,1,6,160,373,299,187
2019-1059,Taipei,Hard,32,C,20191111,278,202450,,,Jana Cepelova,R,168,SVK,26.4531143053,206124,5,,Tereza Martincova,R,,CZE,25.0485968515,6-3 6-1,3,R32,62,3,2,52,31,20,12,8,3,5,3,4,66,48,24,4,8,9,15,173,355,126,482
2019-1059,Taipei,Hard,32,C,20191111,279,202693,,,Ya Hsuan Lee,R,165,TPE,24.3121149897,214540,,,Chihiro Muramatsu,U,,JPN,21.4729637235,7-6(9) 6-4,3,R32,119,4,4,77,58,34,8,11,5,10,0,5,80,54,29,10,11,4,10,307,182,264,216
2019-1059,Taipei,Hard,32,C,20191111,280,215872,,,Kamilla Rakhimova,R,,RUS,18.2039698836,203552,,,Risa Ozaki,R,163,JPN,25.5879534565,6-1 6-3,3,R32,61,1,2,52,33,22,11,8,1,2,1,1,46,34,17,4,8,2,7,204,297,313,173
2019-1059,Taipei,Hard,32,C,20191111,281,201554,3,,Vitalia Diatchenko,R,170,RUS,29.2758384668,206102,,,Ankita Raina,R,,IND,26.8309377139,7-6(1) 6-1,3,R32,93,3,6,68,49,36,8,10,4,6,1,1,66,47,23,10,9,5,9,108,600,185,321
2019-1059,Taipei,Hard,32,C,20191111,282,202688,,,Isabella Shinikova,R,184,BUL,28.0465434634,202457,7,,Bibiane Schoofs,R,170,NED,31.4962354552,6-2 6-4,3,R32,73,2,8,53,25,18,16,9,2,4,4,3,70,43,25,8,9,10,15,166,362,146,409
2019-1059,Taipei,Hard,32,C,20191111,283,211846,,,Kyoka Okamura,R,,JPN,24.0985626283,204223,,,Peangtarn Plipuech,U,169,THA,26.9869952088,5-7 6-3 6-3,3,R32,135,3,8,107,63,41,21,15,10,14,1,3,88,49,27,20,15,6,12,255,228,309,177
2019-1059,Taipei,Hard,32,C,20191111,284,201524,,,Urszula Radwanska,R,177,POL,28.9281314168,213544,,,Jana Fett,R,,CRO,23.022587269,0-6 6-1 6-2,3,R32,112,4,3,66,41,26,13,11,3,6,3,4,95,59,34,16,10,12,16,257,227,262,219
2019-1059,Taipei,Hard,32,C,20191111,285,203575,1,,Danka Kovinic,R,169,MNE,24.9801505818,211269,,WC,Eudice Wong Chong,U,,HKG,23.5537303217,6-7(3) 6-4 6-3,3,R32,140,7,5,90,50,38,18,15,3,6,0,2,128,84,49,22,16,8,14,91,692,451,91
2019-1059,Taipei,Hard,32,C,20191111,286,201693,2,,Timea Babos,R,179,HUN,26.5051334702,204411,,Q,Storm Sanders,L,,AUS,25.2511978097,6-4 7-6(8),3,R16,102,5,0,79,52,37,11,11,1,4,2,2,75,48,31,13,11,4,8,104,638,424,100
2019-1059,Taipei,Hard,32,C,20191111,287,206362,,,Naiktha Bains,R,174,GBR,21.9000684463,215219,6,,Kaja Juvan,R,170,SLO,18.9596167009,1-6 6-2 3-4 RET,3,R16,103,0,2,78,54,26,13,11,3,8,0,0,62,37,24,11,11,6,10,291,194,129,476
2019-1059,Taipei,Hard,32,C,20191111,288,203435,,,Dalila Jakupovic,R,178,SLO,28.6351813826,203281,,,Amandine Hesse,R,164,FRA,26.81724846,3-6 6-3 6-3,3,R16,118,1,1,88,64,35,12,14,3,9,3,3,93,60,32,16,13,11,18,201,297,259,225
2019-1059,Taipei,Hard,32,C,20191111,289,202600,8,,Viktoriya Tomova,R,170,BUL,24.7091033539,222390,,WC,Ya Yi Yang,L,,TPE,15.4496919918,6-4 6-2,3,R16,83,1,4,71,45,36,6,9,3,5,0,6,69,37,23,9,9,6,11,160,373,,
2019-1059,Taipei,Hard,32,C,20191111,290,202450,,,Jana Cepelova,R,168,SVK,26.4531143053,202693,,,Ya Hsuan Lee,R,165,TPE,24.3121149897,6-3 6-3,3,R16,66,1,3,51,35,28,7,9,2,3,2,1,60,37,21,12,9,3,7,173,355,307,182
2019-1059,Taipei,Hard,32,C,20191111,291,201554,3,,Vitalia Diatchenko,R,170,RUS,29.2758384668,215872,,,Kamilla Rakhimova,R,,RUS,18.2039698836,6-4 6-4,3,R16,84,5,5,59,30,23,16,10,4,6,2,4,57,34,22,8,10,2,6,108,600,204,297
