player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
200033,Serena,Williams,R,19810926,USA,175,Q11459
200748,Venus,Williams,R,19800617,USA,185,Q11578
201318,Bethanie,Mattek Sands,R,19850323,USA,168,Q54537
201320,Svetlana,Kuznetsova,R,19850627,RUS,174,Q192064
201325,Samantha,Stosur,R,19840330,AUS,172,Q191766
201329,Vera,Zvonareva,R,19840907,RUS,172,Q374053
201339,Renata,Voracova,R,19831006,CZE,,Q254622
201345,Maria,Sharapova,R,19870419,RUS,188,Q11666
201366,Barbora,Zahlavova Strycova,R,19860328,CZE,164,Q230353
201397,Shuai,Peng,R,19860108,CHN,173,Q229087
201399,Emily,Webley Smith,R,19840714,GBR,,Q458550
201402,Sesil,Karatantcheva,R,19890808,KAZ,171,Q230881
201426,Pauline,Parmentier,R,19860131,FRA,175,Q239646
201427,Alize,Cornet,R,19900122,FRA,173,Q229002
201443,Alexa,Glatch,R,19890910,USA,183,Q53553
201444,Su Wei,Hsieh,R,19860104,TPE,169,Q232566
201458,Victoria,Azarenka,R,19890731,BLR,180,Q10118
201465,Kirsten,Flipkens,R,19860110,BEL,165,Q211599
201466,Kaia,Kanepi,R,19850610,EST,181,Q211428
201478,Varvara,Lepchenko,L,19860521,USA,180,Q54532
201483,Madison,Brengle,R,19900403,USA,,Q53336
201490,Timea,Bacsinszky,R,19890608,SUI,170,Q232439
201492,Andrea,Petkovic,R,19870909,GER,180,Q57557
201493,Angelique,Kerber,L,19880118,GER,173,Q77178
201495,Dominika,Cibulkova,R,19890506,SVK,161,Q211802
201496,Caroline,Wozniacki,R,19900711,DEN,177,Q30767
201499,Anastasia,Pavlyuchenkova,R,19910703,RUS,177,Q487182
201501,Olga,Govortsova,R,19880823,BLR,182,Q230248
201504,Julia,Goerges,R,19881102,GER,180,Q77167
201505,Ekaterina,Makarova,L,19880607,RUS,178,Q953688
201506,Sara,Errani,R,19870429,ITA,164,Q229005
201512,Monica,Niculescu,R,19870925,ROU,168,Q230346
201513,Sabine,Lisicki,R,19890922,GER,178,Q76338
201514,Sorana,Cirstea,R,19900407,ROU,176,Q230242
201516,Evgeniya,Rodina,R,19890204,RUS,170,Q258950
201517,Magdalena,Rybarikova,R,19881004,SVK,180,Q230359
201518,Yanina,Wickmayer,R,19891020,BEL,182,Q228983
201520,Petra,Kvitova,L,19900308,CZE,183,Q30812
201521,Carla,Suarez Navarro,R,19880903,ESP,162,Q230260
201524,Urszula,Radwanska,R,19901207,POL,177,Q236866
201527,Stefanie,Voegele,R,19900310,SUI,170,Q234838
201529,Kristie,Ahn,R,19920615,USA,165,Q3104444
201533,Shuai,Zhang,R,19890121,CHN,177,Q197291
201534,Asia,Muhammed,R,19910404,USA,178,Q4806395
201535,Coco,Vandeweghe,R,19911206,USA,185,Q54688
201539,Christina,Mchale,R,19920511,USA,170,Q45405
201540,Kristina,Mladenovic,R,19930514,FRA,184,Q242959
201542,Olivia,Rogowska,R,19910607,AUS,175,Q242993
201545,Anastasija,Sevastova,R,19900413,LAT,169,Q232445
201548,Ajla,Tomljanovic,R,19930507,AUS,180,Q2712407
201549,Petra,Martic,R,19910119,CRO,181,Q232553
201551,Arantxa,Rus,L,19901213,NED,180,Q239758
201554,Vitalia,Diatchenko,R,19900802,RUS,170,Q254756
201555,Polona,Hercog,R,19910120,SLO,182,Q229079
201562,Silvia,Soler Espinosa,R,19871119,ESP,169,Q239665
201568,Kristina,Kucova,R,19900523,SVK,163,Q254267
201578,Kai Chen,Chang,R,19910113,TPE,167,Q239612
201580,Xinyun,Han,L,19900530,CHN,172,Q713509
201585,Sloane,Stephens,R,19930320,USA,170,Q54670
201586,Heather,Watson,R,19920519,GBR,170,Q239605
201588,Anna,Tatishvili,R,19900203,GEO,171,Q236789
201590,Alison,Riske,R,19900703,USA,173,Q54572
201593,Irina Camelia,Begu,R,19900826,ROU,181,Q239751
201594,Simona,Halep,R,19910927,ROU,168,Q230156
201595,Misaki,Doi,L,19910429,JPN,159,Q34256
201596,Johanna,Larsson,R,19880817,SWE,174,Q233328
201597,Kurumi,Nara,R,19911230,JPN,155,Q270125
201603,Shelby,Rogers,R,19921013,USA,175,Q377658
201604,Irina,Falconi,R,19900504,USA,163,Q53418
201605,Mandy,Minella,R,19851122,LUX,180,Q239841
201610,Zarina,Diyas,R,19931018,KAZ,172,Q2466357
201611,Daria,Gavrilova,R,19940305,AUS,166,Q2446649
201612,Junri,Namigata,R,19820705,JPN,170,Q271714
201613,Arina,Rodionova,R,19891215,RUS,168,Q291769
201614,Caroline,Garcia,R,19931016,FRA,177,Q258877
201615,Lesia,Tsurenko,R,19890530,UKR,174,Q289378
201616,Lauren,Davis,R,19931009,USA,157,Q53405
201619,Madison,Keys,R,19950217,USA,178,Q34403
201620,Monica,Puig,R,19930927,PUR,170,Q1616699
201621,Mona,Barthel,R,19900711,GER,185,Q77153
201648,Naomi,Broady,R,19900228,GBR,189,Q461706
201662,Karolina,Pliskova,R,19920321,CZE,184,Q289365
201674,Sabina,Sharipova,R,19940904,UZB,174,Q4520541
201693,Timea,Babos,R,19930510,HUN,179,Q239765
201696,Laura,Siegemund,R,19880304,GER,168,Q89128
201697,Kristyna,Pliskova,L,19920321,CZE,184,Q289295
201701,Basak,Eraydin,R,19940621,TUR,,Q8707137
201709,Yulia,Putintseva,R,19950107,KAZ,163,Q2429984
202414,Catherine,Harrison,U,19940409,USA,,Q85236851
202418,Lara,Arruabarrena,R,19920320,ESP,166,Q237146
202421,Alison,Van Uytvanck,R,19940326,BEL,173,Q1976217
202422,Shuko,Aoyama,R,19871219,JPN,154,Q2443685
202424,Conny,Perrin,R,19901225,SUI,174,Q5162081
202427,Johanna,Konta,R,19910517,GBR,180,Q770789
202428,Kiki,Bertens,R,19911210,NED,182,Q239733
202429,Camila,Giorgi,R,19911230,ITA,168,Q34248
